"id","Group","Sequence","Period","Object","Technique","bugs_fixed","time_seconds","time_minutes","time_formatted","Order","Session","Java_Exp","Testing_Exp"
1,Academic,i,i,Budget,LLM-Improved,3,1800.0,30,30:00,i,In-Person,3,4
1,Academic,i,ii,JSWeaponData,Baseline,2,1800.0,30,30:00,i,In-Person,3,4
2,Academic,iii,i,JSWeaponData,LLM-Improved,2,1800.0,30,30:00,i,In-Person,3,2
2,Academic,iii,ii,Budget,Baseline,0,1800.0,30,30:00,i,In-Person,3,2
3,Academic,i,i,Budget,LLM-Improved,3,1800.0,30,30:00,i,In-Person,5,5
3,Academic,i,ii,JSWeaponData,Baseline,4,1795.0,29,29:55,i,In-Person,5,5
4,Academic,ii,i,Budget,Baseline,1,1800.0,30,30:00,ii,In-Person,4,1
4,Academic,ii,ii,JSWeaponData,LLM-Improved,3,1800.0,30,30:00,ii,In-Person,4,1
5,Industry,iv,i,JSWeaponData,Baseline,4,1190.0,19,19:50,ii,Remote,7,3
5,Industry,iv,ii,Budget,LLM-Improved,4,1770.0,29,29:30,ii,Remote,7,3
6,Academic,ii,i,Budget,Baseline,4,810.0,13,13:30,ii,In-Person,5,3
6,Academic,ii,ii,JSWeaponData,LLM-Improved,4,993.0,16,16:33,ii,In-Person,5,3
7,Academic,iii,i,JSWeaponData,LLM-Improved,4,1621.0,27,27:01,i,In-Person,20,15
7,Academic,iii,ii,Budget,Baseline,1,1800.0,30,30:00,i,In-Person,20,15
8,Academic,iv,i,JSWeaponData,Baseline,3,1800.0,30,30:00,ii,In-Person,3,1
8,Academic,iv,ii,Budget,LLM-Improved,4,1443.0,24,24:03,ii,In-Person,3,1
9,Industry,iii,i,JSWeaponData,LLM-Improved,4,553.0,9,09:13,i,Remote,5,6
9,Industry,iii,ii,Budget,Baseline,3,1800.0,30,30:00,i,Remote,5,6
10,Academic,iv,i,JSWeaponData,Baseline,4,1209.0,20,20:09,ii,In-Person,2,2
10,Academic,iv,ii,Budget,LLM-Improved,4,1178.0,19,19:38,ii,In-Person,2,2
11,Academic,i,i,Budget,LLM-Improved,4,1760.0,29,29:20,i,In-Person,6,5
11,Academic,i,ii,JSWeaponData,Baseline,4,595.0,9,09:55,i,In-Person,6,5
12,Academic,ii,i,Budget,Baseline,3,1800.0,30,30:00,ii,In-Person,8,7
12,Academic,ii,ii,JSWeaponData,LLM-Improved,4,1178.0,19,19:38,ii,In-Person,8,7
13,Academic,iii,i,JSWeaponData,LLM-Improved,3,1800.0,30,30:00,i,In-Person,2,2
13,Academic,iii,ii,Budget,Baseline,3,1800.0,30,30:00,i,In-Person,2,2
14,Industry,ii,i,Budget,Baseline,4,1613.0,26,26:53,ii,Remote,5,8
14,Industry,ii,ii,JSWeaponData,LLM-Improved,4,426.0,7,07:06,ii,Remote,5,8
15,Academic,iv,i,JSWeaponData,Baseline,3,1800.0,30,30:00,ii,Remote,4,2
15,Academic,iv,ii,Budget,LLM-Improved,4,1600.0,26,26:40,ii,Remote,4,2
16,Academic,i,i,Budget,LLM-Improved,3,1800.0,30,30:00,i,In-Person,8,3
16,Academic,i,ii,JSWeaponData,Baseline,4,788.0,13,13:08,i,In-Person,8,3
17,Industry,i,i,Budget,LLM-Improved,4,1603.0,26,26:43,i,In-Person,3,1
17,Industry,i,ii,JSWeaponData,Baseline,4,880.0,14,14:40,i,In-Person,3,1
18,Industry,ii,i,Budget,Baseline,3,1800.0,30,30:00,ii,Remote,3,3
18,Industry,ii,ii,JSWeaponData,LLM-Improved,4,875.0,14,14:35,ii,Remote,3,3
19,Academic,iv,i,JSWeaponData,Baseline,4,1019.0,16,16:59,ii,In-Person,4,3
19,Academic,iv,ii,Budget,LLM-Improved,3,1800.0,30,30:00,ii,In-Person,4,3
20,Industry,iii,i,JSWeaponData,LLM-Improved,4,424.0,7,07:04,i,Remote,4,5
20,Industry,iii,ii,Budget,Baseline,3,1800.0,30,30:00,i,Remote,4,5
21,Academic,ii,i,Budget,Baseline,3,1800.0,30,30:00,ii,In-Person,2,2
21,Academic,ii,ii,JSWeaponData,LLM-Improved,4,979.0,16,16:19,ii,In-Person,2,2
22,Academic,iii,i,JSWeaponData,LLM-Improved,4,1528.0,25,25:28,i,In-Person,1,1
22,Academic,iii,ii,Budget,Baseline,2,1800.0,30,30:00,i,In-Person,1,1
23,Industry,i,i,Budget,LLM-Improved,4,1428.0,23,23:48,i,Remote,4,4
23,Industry,i,ii,JSWeaponData,Baseline,4,638.0,10,10:38,i,Remote,4,4
24,Academic,i,i,Budget,LLM-Improved,3,1800.0,30,30:00,i,Remote,5,3
24,Academic,i,ii,JSWeaponData,Baseline,3,1800.0,30,30:00,i,Remote,5,3
25,Industry,iv,i,JSWeaponData,Baseline,4,1197.0,19,19:57,ii,In-Person,6,12
25,Industry,iv,ii,Budget,LLM-Improved,4,1361.0,22,22:41,ii,In-Person,6,12
26,Industry,ii,i,Budget,Baseline,2,1800.0,30,30:00,ii,Remote,8,8
26,Industry,ii,ii,JSWeaponData,LLM-Improved,4,872.0,14,14:32,ii,Remote,8,8
27,Industry,iii,i,JSWeaponData,LLM-Improved,4,1175.0,19,19:35,i,In-Person,6,15
27,Industry,iii,ii,Budget,Baseline,4,1244.0,20,20:44,i,In-Person,6,15
28,Academic,ii,i,Budget,Baseline,4,1554.0,25,25:54,ii,In-Person,3,3
28,Academic,ii,ii,JSWeaponData,LLM-Improved,4,592.0,9,09:52,ii,In-Person,3,3
29,Industry,iv,i,JSWeaponData,Baseline,4,1195.0,19,19:55,ii,In-Person,20,15
29,Industry,iv,ii,Budget,LLM-Improved,4,1410.0,23,23:30,ii,In-Person,20,15
30,Academic,iv,i,JSWeaponData,Baseline,3,1800.0,30,30:00,ii,Remote,1,1
30,Academic,iv,ii,Budget,LLM-Improved,4,1642.0,27,27:22,ii,Remote,1,1
31,Academic,iii,i,JSWeaponData,LLM-Improved,4,1022.0,17,17:02,i,Remote,12,3
31,Academic,iii,ii,Budget,Baseline,4,1720.0,28,28:40,i,Remote,12,3
32,Industry,i,i,Budget,LLM-Improved,3,1800.0,30,30:00,i,Remote,7,1
32,Industry,i,ii,JSWeaponData,Baseline,4,1720.0,28,28:40,i,Remote,7,1
