#,Group,# Variety,Tasks,Question,TestGen,Comments,Test Data,Test Name,Variable Names
1,Academic,1,1,Budget,UTG,"3, 3, 4, 3","3, 3, 3, 4","3, 3, 3, 3","3, 3, 4, 4"
1,Academic,1,2,JSWeaponData,Evo,"3, 2, 3, 3","3, 2, 3, 3","3, 2, 3, 3","3, 2, 3, 3"
2,Academic,3,1,JSWeaponData,UTG,"4, 4, 5, 5","5, 4, 5, 5","5, 4, 4, 4","4, 4, 5, 5"
2,Academic,3,2,Budget,Evo,"1, 1, 1, 1","3, 4, 1, 1","2, 2, 3, 5","1, 5, 2, 3"
3,Academic,1,1,Budget,UTG,"2, 4, 1, 2","1, 1, 2, 3","4, 4, 3, 4","3, 4, 4, 4"
3,Academic,1,2,JSWeaponData,Evo,"1, 1, 1, 1","2, 2, 2, 2","4, 4, 4, 4","2, 2, 2, 2"
4,Academic,2,1,Budget,Evo,"5, 5, 5, 5","3, 3, 3, 3","1, 2, 1, 2","3, 4, 3, 3"
4,Academic,2,2,JSWeaponData,UTG,"5, 5, 5, 5","2, 2, 2, 2","2, 2, 1, 1","4, 4, 4, 4"
5,Industry,4,1,JSWeaponData,Evo,"1, 5, 1, 1","3, 5, 4, 2","1, 1, 1, 1","2, 2, 3, 2"
5,Industry,4,2,Budget,UTG,"5, 2, 5, 5","5, 5, 4, 3","5, 5, 5, 5","5, 5, 5, 5"
6,Academic,2,1,Budget,Evo,"1, 5, 5, 5","5, 5, 5, 5","5, 3, 5, 5","3, 5, 5, 5"
6,Academic,2,2,JSWeaponData,UTG,"1, 5, 3, 3","5, 5, 5, 5","5, 3, 5, 5","5, 5, 5, 5"
7,Academic,3,1,JSWeaponData,UTG,"5, 5, 5, 5","3, 3, 2, 2","3, 1, 4, 4","4, 5, 4, 5"
7,Academic,3,2,Budget,Evo,"1, 2, 1, 1","2, 5, 1, 2","1, 3, 1, 1","1, 5, 3, 3"
8,Academic,4,1,JSWeaponData,Evo,"1, 1, 1, 1","3, 5, 3, 3","2, 2, 2, 2","2, 5, 4, 4"
8,Academic,4,2,Budget,UTG,"4, 5, 4, 5","3, 5, 4, 5","4, 5, 5, 5","5, 5, 5, 5"
9,Industry,3,1,JSWeaponData,UTG,"2, 1, 5, 5","1, 3, 3, 3","2, 2, 3, 3","2, 2, 5, 3"
9,Industry,3,2,Budget,Evo,"1, 5, 5, 5","2, 3, 2, 3","2, 5, 2, 1","1, 3, 3, 3"
10,Academic,4,1,JSWeaponData,Evo,"1, 5, 1, 1","3, 5, 2, 2","4, 4, 3, 3","3, 4, 4, 2"
10,Academic,4,2,Budget,UTG,"5, 5, 5, 5","5, 5, 5, 5","5, 5, 5, 5","5, 5, 5, 5"
11,Academic,1,1,Budget,UTG,"1, 3, 5, 5","2, 5, 5, 5","5, 5, 5, 5","5, 5, 5, 5"
11,Academic,1,2,JSWeaponData,Evo,"1, 1, 1, 1","1, 1, 1, 1","5, 3, 3, 3","4, 3, 2, 2"
12,Academic,2,1,Budget,Evo,"1, 1, 1, 1","1, 1, 1, 2","2, 4, 2, 1","2, 1, 1, 2"
12,Academic,2,2,JSWeaponData,UTG,"5, 5, 5, 3","5, 5, 5, 3","5, 5, 5, 3","5, 5, 5, 3"
13,Academic,3,1,JSWeaponData,UTG,"4, 5, 5, 4","4, 5, 3, 4","2, 3, 2, 3","4, 5, 5, 5"
13,Academic,3,2,Budget,Evo,"1, 1, 1, 1","4, 2, 2, 3","5, 5, 4, 4","3, 3, 3, 3"
14,Industry,2,1,Budget,Evo,"4, 5, 5, 5","4, 5, 1, 1","5, 5, 5, 5","5, 5, 4, 2"
14,Industry,2,2,JSWeaponData,UTG,"4, 2, 5, 5","2, 5, 5, 5","5, 5, 5, 5","5, 2, 5, 5"
15,Academic,4,1,JSWeaponData,Evo,"1, 1, 1, 1","5, 5, 5, 4","3, 3, 4, 3","5, 4, 5, 5"
15,Academic,4,2,Budget,UTG,"5, 5, 5, 5","4, 5, 3, 4","5, 5, 5, 5","5, 5, 5, 5"
16,Academic,1,1,Budget,UTG,"2, 3, 3, 3","5, 5, 3, 4","4, 3, 3, 3","4, 5, 4, 3"
16,Academic,1,2,JSWeaponData,Evo,"1, 5, 1, 1","5, 5, 5, 5","3, 1, 5, 5","3, 2, 5, 4"
17,Industry,1,1,Budget,UTG,"3, 1, 1, 1","1, 3, 3, 3","5, 1, 5, 3","4, 5, 5, 4"
17,Industry,1,2,JSWeaponData,Evo,"1, 5, 1, 4","1, 2, 2 ,2","5, 1, 3, 0","3, 1, 3, 2"
18,Industry,2,1,Budget,Evo,"1, 1, 1, 1","4, 5, 3, 4","5, 5, 5, 5","3, 5, 3, 5"
18,Industry,2,2,JSWeaponData,UTG,"5, 4, 4, 4","5, 5, 5, 5","5, 5, 5, 5","5, 5, 4, 5"
19,Academic,4,1,JSWeaponData,Evo,"1, 5, 5, 5","3, 4, 5, 5","3, 3, 4, 4","2, 4, 5, 4"
19,Academic,4,2,Budget,UTG,"5, 2, 5, 5","5, 4, 5, 5","5, 5, 5, 5","5, 5, 5, 5"
20,Industry,3,1,JSWeaponData,UTG,"4, 1, 1, 3","5, 1, 2, 4","5, 5, 5, 5","1, 4, 3, 2"
20,Industry,3,2,Budget,Evo,"1, 1, 1, 1","4, 2, 1, 3","4, 4, 5, 4","2, 2, 3, 2"
21,Academic,2,1,Budget,Evo,"2, 5, 1, 1","5, 5, 5, 5","5, 5, 5, 4","3, 5, 4, 2"
21,Academic,2,2,JSWeaponData,UTG,"5, 5, 5, 5","5, 5, 5, 5","5, 5, 5, 5","4, 4, 5, 5"
22,Academic,3,1,JSWeaponData,UTG,"4, 3, 5, 3","5, 5, 5, 5","5, 5, 3, 4","3, 4, 3, 3"
22,Academic,3,2,Budget,Evo,"1, 1, 1, 1","3, 3, 3, 3","5, 5, 5, 5","3, 3, 3, 3"
23,Industry,1,1,Budget,UTG,"1, 1, 5, 4","4, 4, 4, 5","4, 3, 5, 5","5, 5, 5, 5"
23,Industry,1,2,JSWeaponData,Evo,"5, 5, 5, 5","5, 5, 5, 5","3, 1, 5, 1","5, 2, 5, 5"
24,Academic,1,1,Budget,UTG,"3, 4, 5, 4","5, 4, 3, 4","4, 5, 4, 4","5, 5, 3, 4"
24,Academic,1,2,JSWeaponData,Evo,"1, 5, 1, 1","3, 2, 2, 2","2, 2, 3, 2","2, 3, 3, 3"
25,Industry,4,1,JSWeaponData,Evo,"5, 5, 5, 5","4, 5, 2, 5","3, 3, 2, 4","1, 1, 3, 4"
25,Industry,4,2,Budget,UTG,"3, 1, 4, 5","5, 5, 5, 5","5, 5, 5, 5","5, 5, 5, 5"
26,Industry,2,1,Budget,Evo,"1, 5, 1, 1","1, 5, 2, 1","1, 3, 2, 1","1, 5, 1, 1"
26,Industry,2,2,JSWeaponData,UTG,"5, 1, 1, 1","5, 5, 5, 5","4, 5, 5, 5","5, 5, 5, 5"
27,Industry,3,1,JSWeaponData,UTG,"1, 1, 2, 2","3, 4, 4, 4","1, 1, 1, 2","4, 4, 4, 4"
27,Industry,3,2,Budget,Evo,"5, 5, 5, 5","2, 4, 2, 3","1, 2, 1, 2","2, 4, 2, 2"
28,Academic,2,1,Budget,Evo,"5, 5, 5, 5","5, 5, 2, 1","5, 5, 5, 5","2, 5, 2, 2"
28,Academic,2,2,JSWeaponData,UTG,"5, 2, 5, 5","3, 5, 4, 5","5, 5, 5, 5","5, 5, 5, 5"
29,Industry,4,1,JSWeaponData,Evo,"1, 5, 1, 1","3, 3, 4, 3","2, 2, 2, 2","2, 2, 2, 2"
29,Industry,4,2,Budget,UTG,"4, 1, 5, 4","4, 1, 5, 5","4, 1, 4, 4","4, 1, 5, 5"
30,Academic,4,1,JSWeaponData,Evo,"1, 5, 1, 1","4, 3, 4, 4","2, 2, 2, 2","3, 3, 4, 4"
30,Academic,4,2,Budget,UTG,"3, 3, 3, 4","3, 5, 3, 5","5, 5, 5, 5","5, 5, 5, 5"
31,Academic,3,1,JSWeaponData,UTG,"4, 3, 4, 4","3, 5, 2, 3","1, 4, 2, 2","4, 3, 5, 5"
31,Academic,3,2,Budget,Evo,"1, 5, 5, 5","1, 5, 2, 3","3, 4, 3, 4","1, 3, 2, 2"
32,Industry,1,1,Budget,UTG,"1, 2, 1, 1","1, 1, 3, 1","3, 2, 2, 2","2, 1, 3, 2"
32,Industry,1,2,JSWeaponData,Evo,"1, 1, 1, 1","2, 1, 2, 1","1, 1, 1, 1","1, 1, 1, 1"